"crop_id","crop_name","crop_bottom_grain","crop_root","crop_nutrient_requirements","crop_familiy","crop_usage"
"2","Tomate","nicht definiert",,"Starkzehrer","Nachtschattengewächse","Fruchtgemüse"
"14","Kürbis","nicht definiert",,"Starkzehrer","Kürbisgewächse","Fruchtgemüse"
"15","Zucchini","nicht definiert",,"Starkzehrer","Kürbisgewächse","Fruchtgemüse"
"16","Gurke","nicht definiert",,"Starkzehrer","Kürbisgewächse","Fruchtgemüse"
"17","Zuckermais","nicht definiert",,"Starkzehrer","Süßgräser","Samengemüse"
"25","Möhre","nicht definiert",,"Mittelzehrer","Doldenblütler","Wurzel- und Knollengemüse"
"26","Radieschen","nicht definiert",,"Schwachzehrer","Kreuzblütler","Wurzel- und Knollengemüse"
"27","Rote Bete","nicht definiert",,"Mittelzehrer","Fuchsschwanzgewächse","Wurzel- und Knollengemüse"
"28","Kohlrabi","nicht definiert",,"Mittelzehrer","Kreuzblütler","Wurzel- und Knollengemüse"
"29","Sellerie","nicht definiert",,"Starkzehrer","Doldenblütler",
"39","Grünkohl","nicht definiert",,"Starkzehrer","Kreuzblütler","Blattgemüse"
"44","Erbse","nicht definiert",,"Schwachzehrer","Hülsenfrüchler","Samengemüse"
"48","Stangenbohne","nicht definiert",,"Mittelzehrer","Hülsenfrüchler","Samengemüse"
"50","Zwiebel","nicht definiert",,"Mittelzehrer","Amaryllisgewächse","Zwiebelgemüse"
"52","Knoblauch","nicht definiert",,"Mittelzehrer","Amaryllisgewächse","Wurzel- und Knollengemüse"
"67","Salat","nicht definiert",,"Mittelzehrer","Korbblütler","Blattgemüse"
"99","Kopfkohl","nicht definiert",,"Starkzehrer","Kreuzblütler","Blattgemüse"
